,Headlines,Article,Published_Dates,Source_URLs
33,"‘Health, sanitation & security are priority’",,2021-03-04,https://timesofindia.indiatimes.com/city/jaipur/health-sanitation-security-are-priority/articleshow/79180639.cms
34,Trichy sanitation drive a damp squib,,2021-03-04,https://timesofindia.indiatimes.com/city/trichy/trichy-sanitation-drive-a-damp-squib/articleshow/80620208.cms
35,How will schools function without sanitation: Teachers,,2021-03-04,https://timesofindia.indiatimes.com/city/hyderabad/how-will-schools-function-without-sanitation-teachers/articleshow/80618682.cms
36,Sanitation worker dies hours after vaccination in Vadodara,,2021-03-04,https://timesofindia.indiatimes.com/city/vadodara/sanitation-worker-dies-hours-after-vaccination/articleshow/80617376.cms
37,UV lamps to sanitize Lucknow Metro coaches,,2021-03-04,https://timesofindia.indiatimes.com/city/lucknow/uv-lamps-to-sanitize-lucknow-metro-coaches/articleshow/80593209.cms
38,Food and Drug Administration has issued warning against 9 hand sanitizers,,2021-03-04,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/food-and-drug-administration-has-issued-warning-against-9-hand-sanitizers/articleshow/76816686.cms
39,Kerala: Health department suggests sanitation measures for school reopening,,2021-03-04,https://timesofindia.indiatimes.com/city/kochi/health-dept-suggests-sanitation-measures-for-school-reopening/articleshow/78898262.cms
40,DCP Gajanan Rajmane honours sanitation staffers on Independence Day,,2020-08-16,https://timesofindia.indiatimes.com/city/nagpur/dcp-gajanan-rajmane-honours-sanitation-staffers-on-independence-day/articleshow/77570791.cms
41,TNUSSP honours seven people who fought gender bias in field of sanitation,,2020-08-16,https://timesofindia.indiatimes.com/city/chennai/tnussp-honours-seven-people-who-fought-gender-bias-in-field-of-sanitation/articleshow/81425042.cms
42,Thane societies to be liable for deaths of sanitation workers,,2020-08-16,https://timesofindia.indiatimes.com/city/thane/thane-socs-to-be-liable-for-deaths-of-sanitation-workers/articleshow/80355878.cms
43,Haryana registers FIRs against 11 sanitizer brands after sample fail quality test,,2020-08-16,https://timesofindia.indiatimes.com/city/chandigarh/haryana-registers-firs-against-11-sanitizer-brands-after-sample-fail-quality-test/articleshow/77378104.cms
44,Ahmedabad: Sanitation inspector prepping for minister tour thrashed,,2020-08-16,https://timesofindia.indiatimes.com/city/ahmedabad/sanitation-inspector-prepping-for-minister-tour-thrashed/articleshow/80336549.cms
45,"Smiles, sanitizers welcome students as schools reopen in Delhi",,2020-08-16,https://timesofindia.indiatimes.com/home/education/news/smiles-sanitizers-welcome-students-as-schools-reopen-in-delhi/articleshow/80323923.cms
46,Swachh race: GHMC caught napping on sanitation,,2020-08-16,https://timesofindia.indiatimes.com/city/hyderabad/swachh-race-ghmc-caught-napping-on-sanitation/articleshow/80318953.cms
47,"2 Ezra Street shops raided, 1,400L ‘toxic’sanitizer seized",,2020-08-16,https://timesofindia.indiatimes.com/city/kolkata/2-ezra-street-shops-raided-1400l-toxicsanitizer-seized/articleshow/77309141.cms
48,Sanitation worker 1st to get vax in hospital,,2020-08-16,https://timesofindia.indiatimes.com/city/nashik/sanitation-worker-1st-to-get-vax-in-hospital/articleshow/80306562.cms
49,Sanitation worker likely to be first vaccine recipient in Odisha,,2020-08-16,https://timesofindia.indiatimes.com/city/bhubaneswar/sanitation-worker-likely-to-be-first-vaccine-recipient-in-odisha/articleshow/80266358.cms
50,"Tender floated in Bengal for poll masks, sanitizers",,2020-08-16,https://timesofindia.indiatimes.com/city/kolkata/tender-floated-in-bengal-for-poll-masks-sanitizers/articleshow/80259675.cms
51,Schools demand sanitization expenses before board exams,,2020-08-16,https://timesofindia.indiatimes.com/city/nagpur/schools-demand-sanitization-expenses-before-board-exams/articleshow/80257194.cms
52,All govt schools in Telangana lack sanitation staff,,2020-08-16,https://timesofindia.indiatimes.com/city/hyderabad/all-govt-schools-in-t-lack-sanitation-staff/articleshow/80239629.cms
53,EDMC banks on safai feedback,,2020-08-16,https://timesofindia.indiatimes.com/city/delhi/edmc-banks-on-safai-feedback/articleshow/81250689.cms
54,"Medicines, hand sanitizers gutted in godown fire",,2020-08-16,https://timesofindia.indiatimes.com/city/coimbatore/medicines-hand-sanitizers-gutted-in-godown-fire/articleshow/80220987.cms
55,This is how long the hand sanitizer lasts on your hand,,2020-08-16,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/this-is-how-long-the-hand-sanitizer-lasts-on-your-hand/articleshow/75629090.cms
56,Medicines and hand sanitizers gutted in Coimbatore godown fire,,2020-08-16,https://timesofindia.indiatimes.com/city/coimbatore/medicines-and-hand-sanitizers-gutted-in-coimbatore-godown-fire/articleshow/80212653.cms
57,Hyderabad: Sanitation activities on fast track ahead of GHMC polls,,2020-08-16,https://timesofindia.indiatimes.com/city/hyderabad/sanitation-activities-on-fast-track-ahead-of-ghmc-polls/articleshow/78482666.cms
58,Andhra Pradesh: Local sanitizers give legacy brands a run for their money,,2020-08-16,https://timesofindia.indiatimes.com/city/visakhapatnam/local-sanitizers-give-legacy-brands-a-run-for-their-money/articleshow/77043800.cms
59,Delhi sanitation worker dies four days after vaccine jab,,2020-08-16,https://timesofindia.indiatimes.com/city/delhi/sanitation-worker-dies-four-days-after-vax-jab/articleshow/81161241.cms
60,Musi revival: Citizens can breathe easy along river,,2021-02-22,https://timesofindia.indiatimes.com/city/hyderabad/musi-revival-citizens-can-breathe-easy-along-river/articleshow/81143035.cms
61,Advocates question move of children's admission in court crèche during pandemic times,,2021-02-22,https://timesofindia.indiatimes.com/city/chandigarh/advocates-question-move-of-childrens-admission-in-court-crche-during-pandemic-times/articleshow/78364317.cms
62,"Dismayed over sanitization cost, schools wary of reopening",,2021-02-22,https://timesofindia.indiatimes.com/city/nagpur/dismayed-over-sanitization-cost-schools-wary-of-reopening/articleshow/80083932.cms
63,"Noida: Despite incentives, turnout under 40% in last jab round",,2021-02-22,https://timesofindia.indiatimes.com/city/noida/despite-incentives-turnout-under-40-in-last-jab-round/articleshow/81099601.cms
64,"Gurugram: Foetus found in drain, sanitation staff alert cops",,2021-02-22,https://timesofindia.indiatimes.com/city/gurgaon/foetus-found-in-drain-sanitation-staff-alert-cops/articleshow/81099827.cms
65,"SDMC to give house, job to kin of deceased Covid-19 warriors",,2021-02-22,https://timesofindia.indiatimes.com/city/delhi/sdmc-to-give-house-job-to-kin-of-deceased-covid-19-warriors/articleshow/81010010.cms
66,Mayor meets family members of sanitation worker who died of health complications,,2021-02-22,https://timesofindia.indiatimes.com/city/delhi/mayor-meets-family-members-of-sanitation-worker-who-died-of-health-complications/articleshow/81350793.cms
67,IIT-Guwahati students build pocket-sized device to sanitise surfaces,,2021-02-22,https://timesofindia.indiatimes.com/home/education/news/iit-guwahati-students-build-pocket-sized-device-to-sanitise-surfaces/articleshow/76835048.cms
68,"Malba dumping on roadsides, green belts rampant in Sector 15",,2021-02-22,https://timesofindia.indiatimes.com/city/gurgaon/malba-dumping-on-roadsides-green-belts-rampant-in-sector-15/articleshow/80943185.cms
69,Bihar: ‘No nervousness in getting 2nd shot of Covid vaccine’,,2021-02-22,https://timesofindia.indiatimes.com/city/patna/no-nervousness-in-getting-2nd-shot-of-covid-vaccine/articleshow/80932516.cms
70,Kolkata: Weekend cleaning for Monday reopening,,2021-02-22,https://timesofindia.indiatimes.com/city/kolkata/busy-weekends-for-city-schools-that-are-re-opening-on-monday/articleshow/80914383.cms
71,"Job lost, sanitation worker found hanging in Noida",,2021-02-22,https://timesofindia.indiatimes.com/city/noida/job-lost-sanitation-worker-found-hanging/articleshow/78177361.cms
72,"Clogged drain or waste pile, 16 teams will clear it in 4 hrs",,2021-02-22,https://timesofindia.indiatimes.com/city/noida/clogged-drain-or-waste-pile-16-teams-will-clear-it-in-4-hrs/articleshow/80801075.cms
73,"Rajasthan: Staff's dance video from ICU goes viral, hospital sacks one, transfers two",,2021-02-22,https://timesofindia.indiatimes.com/city/jaipur/rajasthan-staffs-dance-video-from-icu-goes-viral-hospital-sacks-one-transfers-two/articleshow/80787329.cms
74,Chhatrapati Shivaji Maharaj International airport awarded by ACI,,2021-02-22,https://timesofindia.indiatimes.com/business/india-business/chhatrapati-shivaji-maharaj-international-airport-awarded-by-aci/articleshow/80786338.cms
